ChineseName,EnglishName,ChineseAddress,EnglishAddress,Phone,RoomCount
帛堯初見輕旅,JIN SHINE HOTEL,臺北市萬華區忠孝西路2段38號,"8-10F., No.68, Chengdu Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23886813,4
台北君悅酒店,Master Inn,臺北市信義區松壽路2號,"Civic Boulevard, 16th Floor, No. 211, Section 1, Datong Dist., Taipei City 103, Taiwan(R.O.C.)",02-27201234,866
華宮旅社,Bee House Hotel,臺北市萬華區西昌街157號,"No.57,Taiyuan Rd.,Datong Dist.,Taipei City 103,Taiwan(R.O.C)",02-23142627,14
昌亞旅館,Wanderwall,臺北市中山區林森北路673號1至7樓,"9F.-2, 9F.-3,9F.-4, No. 36, Xining S. Rd., Wanhua Dist., Taipei City",02-25863161,29
臺北車站智選假日酒店,Hotel Relax 5,臺北市大同區重慶北路一段73號1樓至7樓,"No.20, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-25505799,152
星美飯店,Lucky One Hostel,臺北市士林區前港街38-1、38-2,"No.1, Changji St., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-28828080,48
藝築文旅昆明館,Wellspring by Silks Beitou,臺北市萬華區昆明街79號10樓,"No. 19, Quanyuan Rd., Beitou Dist., Taipei City",02-23610330,14
靜好文旅by墾趣,WonderTime,臺北市中山區南京東路2段11號11樓,"6F., No. 45, Sec. 1, Hankou St., Zhongzheng Dist., Taipei City",02-25718875,10
沐蘭精品旅館,non,臺北市中山區堤頂大道2段460號,"10F.-1, No. 1, Sec. 1, Chongqing N. Rd., Datong Dist., Taipei City , Taiwan (R.O.C.)",02-85023397,46
銀河旅館,STEP INN,臺北市萬華區漢中街147巷6號1至4樓,"3F., No. 131, Raohe St., Songshan Dist., Taipei City 105058, Taiwan (R.O.C.)",02-23116606,18
台北凱撒大飯店,美好行旅,臺北市中正區忠孝西路1段38號,"12F., No. 2, Sec. 1, Kaifeng St., Zhongzheng Dist., Taipei City",02-23115151,478
方舟旅店 長安復興,Kai Wei Boutique Hotel,臺北市中山區長安東路二段246號3樓、10樓及11樓,"9-10F., No.381, Linsen N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27727750,82
水美溫泉會館,Travel Fun Inn,臺北市北投區光明路224號,"No.110, Sec. 2, Xinyi Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-28983838,78
新驛旅店台北車站三館,LUMOS INN,"臺北市大同區長安西路77,79號1-7樓","2F., No.255, Sec. 2, Yanping N. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-77327777,66
